params,split0_RMSE,split1_RMSE,split2_RMSE,split3_RMSE,split4_RMSE,mean_RMSE,std_RMSE,rank
"{""max_depth"": 4, ""min_samples_leaf"": 1}",2.1938070260015397,2.200767819033174,1.389242300346789,0.2491885415899206,0.39383977616151794,1.2853690926265884,0.8417242549489427,6
"{""max_depth"": 4, ""min_samples_leaf"": 3}",2.178371431937269,2.143658135180636,1.3726166127318293,0.2500686852231351,0.397012408102088,1.2683454546349915,0.8247788672855264,3
"{""max_depth"": 4, ""min_samples_leaf"": 8}",2.327349977836193,2.146685871903291,1.7018952135510126,0.24488578680459513,0.36257829286898263,1.3566790285928148,0.884285881804311,9
"{""max_depth"": 8, ""min_samples_leaf"": 1}",2.1857638591668476,2.2016471180752935,1.3828719159066778,0.22508859084844465,0.37288380388819214,1.2736510575770912,0.8504023211361378,5
"{""max_depth"": 8, ""min_samples_leaf"": 3}",2.175389324384628,2.1470045528519917,1.3605036802499362,0.22458458061748213,0.38178678718495723,1.2578537850577989,0.8340427073461397,1
"{""max_depth"": 8, ""min_samples_leaf"": 8}",2.327349977836193,2.1466574764505424,1.6985045823597973,0.22190672473299583,0.34004705839673344,1.3468931639552522,0.8948611822725817,7
"{""max_depth"": null, ""min_samples_leaf"": 1}",2.1961378040058546,2.203317806995273,1.3514411353802884,0.2239247662014345,0.3728935311677249,1.2695430087501152,0.8525864632256025,4
"{""max_depth"": null, ""min_samples_leaf"": 3}",2.174572148822094,2.1431102782421063,1.3681484705985196,0.22587041741839586,0.3818271017855376,1.2587056833733308,0.8329015940772179,2
"{""max_depth"": null, ""min_samples_leaf"": 8}",2.327349977836193,2.1466574764505424,1.6985045823597973,0.22190672473299583,0.34004705839673344,1.3468931639552522,0.8948611822725817,7
